ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,MD5_HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
92,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/MEMORANDUM%20IN%20SUPPORT%20OF%20JURY%20INSTRUCTION.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/MEMORANDUM IN SUPPORT OF JURY INSTRUCTION.doc,MEMORANDUM IN SUPPORT OF JURY INSTRUCTION.doc,Container,Done,57856,File,doc,2008-05-09T11:17:22,FALSE,db973c62b95b2fa2320426f194dd47da,1,fmt/40,application/msword,Microsoft Word Document,97-2003
89,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/MEMORANDUMINSUPPORTOFJURYINSTRUCTION%28Eps%29%2B3.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/MEMORANDUMINSUPPORTOFJURYINSTRUCTION(Eps)+3.doc,MEMORANDUMINSUPPORTOFJURYINSTRUCTION(Eps)+3.doc,Container,Done,55296,File,doc,2008-05-09T13:07:52,FALSE,15101d9208e37c2889fab13f386f5547,1,fmt/40,application/msword,Microsoft Word Document,97-2003
91,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/Mot.%20to%20Dismiss-as%20filed-1.pdf,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/Mot. to Dismiss-as filed-1.pdf,Mot. to Dismiss-as filed-1.pdf,Signature,Done,341192,File,pdf,2008-09-30T15:17:46,FALSE,71cc9b89dbb5d8b841e740b2f0b7f1e5,1,fmt/18,application/pdf,Acrobat PDF 1.4 - Portable Document Format,1.4
87,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/Mot.%20to%20Dismiss-as%20filed-1.txt,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/Mot. to Dismiss-as filed-1.txt,Mot. to Dismiss-as filed-1.txt,Extension,Done,0,File,txt,2008-11-10T16:16:24,FALSE,d41d8cd98f00b204e9800998ecf8427e,1,x-fmt/111,text/plain,Plain Text File,
88,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/hebert.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/hebert.doc,hebert.doc,Signature,Done,37830,File,doc,2008-05-31T14:40:30,TRUE,2a8b47fd57adadb1771e5c21a96c36ef,1,fmt/53,"application/rtf, text/rtf",Rich Text Format,1.8
90,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/leno.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/leno.doc,leno.doc,Signature,Done,63546,File,doc,2008-05-15T12:58:24,TRUE,98f485afb3933a31c4f8c17a6620d82a,1,fmt/53,"application/rtf, text/rtf",Rich Text Format,1.8
99,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/new%20hampshire.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/new hampshire.doc,new hampshire.doc,Signature,Done,309297,File,doc,2008-06-21T14:43:30,TRUE,8bbf287aa1720b5fb1499804123b793c,1,fmt/53,"application/rtf, text/rtf",Rich Text Format,1.8
104,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/sparf%20with%20dissent.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/sparf with dissent.doc,sparf with dissent.doc,Signature,Done,635839,File,doc,2008-06-08T16:43:14,TRUE,91fc821ec3b37c5911d799aec136f054,1,fmt/53,"application/rtf, text/rtf",Rich Text Format,1.8
94,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/sparf.gaudin%20cite,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/sparf.gaudin cite,sparf.gaudin cite,Signature,Done,71479,File,gaudin cite,2008-06-08T11:20:02,TRUE,96158dcfc35b85160770f8b2af4be202,1,fmt/45,"application/rtf, text/rtf",Rich Text Format,1.0-1.4
132,78,file:/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL%20MOTIONS/sparf.honda%20cite.doc,/Users/Jane/Documents/UIUC/452/final-project/marijuanachallenge/FINAL MOTIONS/sparf.honda cite.doc,sparf.honda cite.doc,Signature,Done,274400,File,doc,2008-06-08T11:34:16,TRUE,c4b6462edd2230f8c8ab736fa2e1898f,1,fmt/53,"application/rtf, text/rtf",Rich Text Format,1.8
